timestamp,user_id,transaction_amount,transaction_type,account_balance,market_volatility_index,interest_rate,inflation_rate,stock_index_change,investment_duration_days,credit_score,device_cpu_usage,device_memory_usage,risk_level
2023-03-01 14:07,U1394,1397.46,investment,8534.75,30.52,2.47,4.24,1.27,67,763,80.4,78.3,0
2023-07-25 9:47,U3561,585.29,transfer,3071.53,35.04,0.85,2.31,-3.82,30,475,19.5,57.5,2
2023-06-21 5:00,U5047,382.63,transfer,10343.53,31.24,3.68,5.81,-1.89,334,302,27.8,72.3,2
INVALID_DATE_FORMAT_STRING,U1232,1038.01,transfer,3058.13,19.15,0.99,2.41,-1.84,32,513,62.6,21,2
2023-07-31 10:39,U6226,778.25,withdrawal,10391.53,17.99,1.28,3.55,1.2,299,507,34.8,18.4,1
2023-04-07 14:33,U5818,1575.66,transfer,14154.66,16.45,0.77,5.4,0.01,67,361,38.9,36.1,1
2023-09-06 3:10,U5682,616.65,deposit,9954.49,34.48,1.53,4.39,-1.34,146,725,38.5,29.9,1
2023-12-16 11:28,U3236,2447.63,investment,7549.77,24.28,2.13,2.05,-0.77,274,776,39.1,20.5,0
2023-08-24 15:13,U2812,1443.11,withdrawal,15883.16,27.64,4.47,2.78,-1.25,106,362,37.5,61.3,2
2023-03-26 12:27,U3443,7063.32,investment,8073.35,20.59,2.37,2.78,-2.29,281,543,36.9,29.2,2
2023-02-08 7:58,U7168,9219.09,investment,12147.41,31.16,0.79,4.04,0.45,194,642,47.8,66.2,1
2023-12-11 7:39,U5574,7860.78,investment,8963.4,15.44,2.49,3.31,0.89,46,399,72.5,72.2,1
2023-06-19 1:53,U3885,1907.96,withdrawal,5167.85,14.02,3.93,3.45,0.25,79,686,59.9,52.5,0
2023-08-17 23:03,U8290,1960.31,deposit,10327.62,37.54,1.03,2.21,-1.32,27,778,32,26.8,1
2023-02-17 18:49,U5209,7823.67,investment,12169.19,20.85,4.51,2.08,0.52,27,667,48.8,78.3,0
2023-10-09 3:51,U2737,1313.8,transfer,6552.01,36.45,1.97,1.16,-1.43,280,656,65.2,81.3,1
2023-04-19 14:55,U6490,N/A,investment,12128.33,30.08,1.39,3.86,1.88,31,840,45,70.4,1
2023-11-01 1:22,U8431,1654.04,investment,15907.58,10.25,4.81,1.3,-0.62,345,487,87.4,66,1
2023-10-30 12:05,U3201,4254.82,investment,13493.53,37.53,1.6,3.14,1.99,307,704,24.4,94.9,0
2023-02-26 11:09,U1184,1520.34,deposit,4654,33.54,3.82,2.27,1.24,126,436,40.2,56.9,1
2023-07-03 0:19,U8084,406.88,deposit,12804.78,33.82,2.51,4.36,-0.78,94,754,32.6,61,0
2023-04-25 3:05,U4538,194.38,deposit,14678.65,10.63,3.26,1.53,-1.71,233,598,58.8,18.7,2
2023-07-20 22:14,U3619,1127.89,transfer,1953.4,28.2,3.74,1.3,2.61,218,532,73.7,21.2,1
2023-05-21 13:23,U5047,641.23,deposit,6140.39,25.7,4.52,1.93,1.2,252,719,46.9,53,0
2023-03-04 11:46,U6955,1497.47,withdrawal,14186.22,13.14,2.46,4.47,-0.94,205,738,80.9,85.6,0
2023-09-04 2:09,U8254,489.81,withdrawal,5183.85,29.16,3.17,3.09,1.56,132,656,76.6,32.7,0
2023-07-05 12:42,U1680,6724.43,INVALID_CATEGORY_DEFAULT,11930.46,12.53,4.64,1.85,-0.39,312,781,83.3,74.6,0
2023-01-28 17:27,U3050,601.46,deposit,1817.03,23.19,3.79,3.61,1.28,248,845,44.6,47.1,0
2023-11-24 4:38,U2971,5968.62,investment,13527.63,27.88,2.53,4.12,-0.82,319,311,61.3,30.4,2
2023-11-01 19:37,U7357,1273.6,withdrawal,5217.15,16.19,1.3,2.8,-4.71,357,339,17.2,43.2,2
2023-01-02 14:27,U2758,1650.08,transfer,8173.95,13.49,3.19,4.55,-0.63,25,331,72.3,33.7,1
2023-10-23 18:37,U7551,679.32,withdrawal,12962.2,32.94,2.78,4.94,2.16,25,374,32.3,67.4,1
2023-12-23 18:17,U1834,583.71,transfer,6516.12,10.72,3.97,3.97,0.72,64,584,40.1,66.9,1
2023-04-29 2:55,U4388,6709.82,investment,8394.18,24.25,0.57,3.45,1.46,216,835,79.1,73.4,0
2023-05-15 3:09,U9250,1433.3,withdrawal,7917.13,10.91,1.3,5.04,2.01,73,678,71.8,82.1,0
2023.12-20,U3790,654.5,deposit,8828.88,28.9,0.72,4.14,-0.14,211,810,21.4,89.3,0
2023-10-25 22:15,U1518,2624.66,investment,8021.59,11.35,1.71,4.7,-0.46,7,788,52,47.1,0
2023-03-19 16:04,U4609,1160.49,deposit,5445.4,25.66,2.92,3.95,2.45,63,829,77,30,0
2023-02-25 13:52,U5167,8038.46,investment,10503.13,36.49,1.34,3.06,-0.63,95,783,55.6,41.6,1
2023-12-28 4:47,U8066,1224.18,deposit,7568.13,28.91,0.7,2.39,0.53,163,672,48.6,63.6,0
2023-10-12 0:57,U3995,1487.5,transfer,8821.47,20.14,1.64,1.04,0.57,161,619,63.2,29.8,0
2023-07-26 14:42,U1654,471.3,deposit,13576.91,37.61,2.03,2.69,-1.93,162,337,81.1,82.8,2
2023-09-26 2:56, U1858 ,4127.56,investment,7153.61,31.25,4.72,2.5,0.13,114,507,38.7,74.6,1
2023-08-19 19:31,U8717,452.83,deposit,13111.79,14.68,4.29,1.2,-0.88,96,560,14.1,73.9,1
2023-01-19 19:36,U4413,9480.84,investment,11958.21,33.54,1.51,4.68,1.82,306,762,20.6,64.3,1
2023-11-18 0:21,U8855,7043.09,investment,17969.69,15.1,2.73,4.97,-0.17,125,359,37.7,70,1
2023-05-02 2:35,U8942,143.78,deposit,14907.89,13.99,2.11,2.53,-0.66,96,473,64.7,86.1,1
2023-01-30 23:17,U5690,1613.28,transfer,2527.56,27.86,1,2.49,-0.38,352,351,89.7,78.9,1
2023-06-13 6:21,U6945,736.02,withdrawal,1967.63,13.8,2.7,5.08,0.46,64,404,36.2,70.4,1
2023-08-24 10:13,U1636,1179.39,deposit,14079.29,26.71,1.87,3.89,3.56,337,776,14.2,38.8,0
2023-02-07 0:58,U9862,6461.9,investment,10005.71,13.31,1.61,3.18,-1.51,260,824,48.1,73.9,1
2023-04-13 8:23,U9184,1070.95,withdrawal,12599.75,39.76,3.63,5.05,1.9,143,449,30,88.8,1
2023-02-12 19:18,U5683,1682.66,wdrialwhat,13462.86,21.91,4.57,1.03,0.25,108,761,68.5,41,0
2023-03-18 22:22,U8936,1476.07,deposit,14368.86,12.1,3.27,4.92,-1.57,48,687,62.2,46.1,1
2023-12-18 16:58,U9619,377.83,transfer,1813.09,19.51,1.73,5.76,2.13,197,617,64.1,56,0
2023-04-23 17:46,U2790,7355.74,investment,21716.34,19.51,2.46,1.42,0.65,200,324,67.9,57.3,1
2023-03-08 9:34,U9553,489.61,withdrawal,1116.88,19.55,2.21,1.95,2.57,134,724,45.5,47.5,0
2023-10-12 12:04,U3413,792.77,Transfer,4295.1,36.26,0.58,1.28,-0.71,34,397,70.3,56.5,1
2023-01-01 11:54,U2938,1275.45,transfer,9012.53,10.91,1.22,3.31,0.17,63,811,43.9,15.8,0
2023-02-25 17:31,U2991,200.3,transfer,11012.12,36.96,4.98,2.87,0.12,53,757,31.2,74,0
2023-06-18 18:39,U4044,1110.79,investment,10057.53,16.73,1.56,4.13,1.36,335,638,10.4,65.2,0
2023-12-22 18:00,U1020,148.59,withdrawal,1709.16,16.25,1.46,3.49,-1.92,177,700,19.1,28,1
2023-04-02 4:09,U2081,1977.14,transfer,12734.82,14.23,3.69,2.99,-0.86,211,588,48.7,90.2,1
2023-02-10 6:19,U7599,1998.96,withdrawal,6718.45,17.5,3.06,3.69,-1.06,70,337,86.6,63.9,2
2023-09-29 16:52,U6655,651.96,transfer,1290.34,20.69,4.17,4.71,-0.01,202,565,21.9,94.4,1
2023-08-12 8:28,U3387,3177,investment,10631.56,13.96,1.72,2.01,0.61,296,542,28.7,54.3,1
2023-10-01 6:55,U4768,1213.71,withdrawal,14597.44,27.38,0.53,3.91,-0.73,206,693,39.6,76.5,0
2023-07-19 21:07,U1244,6537.28,investment,14038.67,13.23,1.55,4.49,-1.29,238,426,68.5,52,2
2023-03-08 14:38,U6190,3062.55,investment,3709.21,14.6,4.82,1.63,-0.75,266,669,73.5,87.3,0
2023-04-26 9:20,U2790,1201.06,withdrawal,5387.82,34.73,4.32,3.25,-1.37,142,633,52.7,21.3,1
2023-01-30 22:41,U9889,503.48,transfer,11517.59,20.21,3.15,2,-1.39,50,641,62.1,71.1,1
2023-02-28 0:38,U3703,5266.06,investment,10115.17,34.92,4.02,1.58,-0.59,236,423,81.2,89.1,2
2023-01-29 4:03,U5877,869.01,transfer,2568.72,17.66,2.69,2.42,0.78,221,649,66,28,0
2023-01-24 19:21,U2212,155.02,withdrawal,9604.7,36.16,4.83,3.05,-0.14,115,736,23.3,92.2,0
2023-01-03 7:54,U9674,6715.8,investment,13659.54,29.44,0.94,1.23,-0.29,357,539,25.7,26.1,2
2023-04-03 18:46,U2353,1111.79,withdrawal,9268.78,31.28,2.89,3.65,-0.53,145,414,61,67.8,1
2023-03-24 18:08,U3649,1227.14,investment,5119.02,26.25,3.5,4.27,-0.33,89,394,72.6,20,1
2023-12-12 16:02,U6300,2298.78,investment,14825.5,20.62,2.26,3,-0.94,124,606,75.9,46.6,0
2023-10-26 7:59,U6711,1028.07,withdrawal,7935.73,29.95,2.25,3.62,-0.53,104,519,54.9,41.4,1
2023-03-28 19:28,U4282,1942.96,deposit,6497.69,23.11,2.08,4.3,-0.24,264,420,83.8,91.6,1
2023-11-27 10:17,U9726,1080.73,withdrawal,1634.41,29.78,1.95,3.13,-0.75,153,342,24.8,67.4,1
2023-08-23 23:06,U8559,585.05,transfer,5524.89,24.12,3.1,4.34,2.55,86,371,83.2,90.9,1
2023-10-10 7:24,U8735,1034.01,deposit,12606.25,27.97,2.19,3.62,1.48,316,809,47.1,39.5,0
2023-03-04 19:04,U8521,397.83,transfer,4559.52,22.72,1.63,3.41,-0.28,233,673,66.1,72.7,0
2023-03-07 3:39,u-8179,1642,withdrawal,12715.56,12.47,1.97,2.94,0.74,344,402,68.4,31.8,1
2023-07-11 4:12,U8014,771.55,transfer,15160.09,10.75,3.92,5.36,1.02,314,504,81,60,1
2023-01-26 16:00,U8198,9952.16,investment,17998.77,38.52,2.05,1.76,-0.23,146,735,42.1,68.8,1
2023-05-03 13:03,U2947,890.67,deposit ,2165.82,30.69,1.91,4.1,-2.77,164,467,85.5,26.7,2
2023-10-07 2:58,U9590,1313.16,withdrawal,14259.52,15.56,3.94,4.74,0.69,35,473,39.7,45.4,1
2023-09-02 14:16,U5510,372.15,transfer,3345.87,14.41,3.79,5.87,1.64,193,329,59.4,45.9,1
2023-01-15 7:27,U3247,1602.21,withdrawal,3112.73,24.7,3.97,4.58,-1.13,208,817,45.4,82.3,1
2023-07-10 9:07,U4507,1374.01,withdrawal,5767.33,13.93,4.41,1.2,0.67,232,555,36.5,17.1,1
2023-02-06 16:55,U5103,2245.92,investment,15425.81,26.3,2.95,2.82,0.91,359,571,53.8,40.8,1
2023-12-14 5:12,U6810,221.9,deposit,14970.76,33.58,1.43,4.5,2.59,351,601,72.2,67.9,0
2023-03-30 2:57,U5922,1890.77,transfer,12570.97,31.58,3.94,4.29,0.45,342,434,74.3,92.6,1
2023-01-31 13:09,U9533,6260.5,investment,7270.28,27.99,0.88,3.51,-2.37,119,507,65.5,31.2,2
2023-12-09 12:22,U2875,1811.43,transfer,7931.99,13.87,2.47,5.34,1.8,96,607,87.3,59.4,0
2023-08-24 7:46,U2429,579.16,withdrawal,9261.27,39.27,4.33,2.2,0.22,108,679,69.4,40.3,0
2023-02-11 11:17,U6663,162.52,withdrawal,4663.78,37.14,2.73,4.63,0.92,187,815,55.7,53.3,0
2023-10-01 13:18,U9567,229.73,deposit,4491.03,11.24,4.85,4.74,0.7,218,437,66.3,48.9,1
2023-05-07 17:07,U8674,1338.56,withdrawal,16334.81,28.63,2.56,4.49,-2.47,23,324,17.4,43.4,2
2023-10-27 8:19,U6232,9895.74,investment,20081.79,14.64,2.89,1.68,1.12,38,726,14.7,52.2,0
2023-01-20 5:28,U9257,3361.09,investment,5056.37,20.15,1.84,5.16,1.36,188,414,31.4,33.5,1
2023-11-30 5:56,U7638,8944.61,INVESTMENT,16772.24,26.19,3.06,2.44,1.25,305,743,43.1,77.8,1
2023-07-03 12:17,U6603,7988.4,investment,12646.52,37.93,4.25,2.46,-0.91,277,591,75.8,76.7,2
2023-11-24 20:06,U3111,1089.84,withdrawal,5336.53,10.2,4.89,4.01,0.31,39,721,36.6,53.9,0
2023-04-14 17:53,U5965,884.9,withdrawal,12189.5,29.1,4.29,2.51,0.77,140,392,48.7,17.9,1
2023-04-16 9:48,U6199,339.02,withdrawal,1105.54,22.59,4.04,2.61,-1.32,99,759,41.5,66.8,1
2023-04-13 13:59,U6598,1026.39,deposit,15473.43,19.07,0.98,2.94,-1.07,229,436,70.8,78.3,2
2023-07-07 22:11,U4450,1900.77,withdrawal,14581.04,26.48,2.85,2.16,-0.5,312,376,19.2,56.9,1
2023-08-15 10:54,U1173,1243.28,deposit,3130.07,28.79,4.72,1.34,0.39,332,732,54.2,78.2,0
2023-10-15 7:58,U4324,595.5,withdrawal,13965.82,19.8,0.96,3.24,0.68,97,705,74,53.2,0
2023-09-26 5:42,U9068,1083.62,transfer,15966.07,32.33,2.06,3.95,-1.46,310,619,40.8,83.8,1
2023-11-10 9:57,U3508,1743.56,investment,13117.89,10.61,0.83,5.71,-2.89,33,808,43.2,28.6,1
2023-09-19 15:49,U5142,1936.16,rsfenart,3748.36,18.37,4.31,5.73,-0.54,364,597,61.6,29.1,1
2023-11-26 19:17,U5215,90.02,withdrawal,5124.36,32.48,1.8,5.62,-1.84,243,650,82.1,42.7,1
2023-01-10 3:23,U7422,1695.65,transfer,15400.29,23.08,0.62,3.05,0.73,125,837,48.9,16.6,0
2023-01-22 7:11,U3454,1038.33,withdrawal,13916.32,33.72,4.47,2.56,-0.59,169,393,62,19.7,1
2023-01-03 6:21,U1619,"$9,638.44 ",investment,22495.52,39.58,3.92,5.87,0.06,281,831,19.9,88.5,1
2023-09-02 2:45,U4995,952.56,Withdrawal,3324.31,10.48,3.63,5.77,-0.65,46,817,48.7,69.2,0
2023-09-19 7:43,U3680,774.4,withdrawal,1530.25,27.37,3.15,2.47,-1.22,359,472,41.9,18.8,2
2023-11-02 6:00,U6729,524.78,transfer,4999.53,31.48,2.06,1.94,1.6,54,727,11.4,89.9,0
2023-02-11 23:03,U3328,1919.35,investment,13265.58,16.31,2.81,5.6,-0.04,191,482,88.7,55,1
2023-01-11 21:55,U5086,6638.11,investment,18225.44,23.85,4.58,4.49,-1.78,227,781,20.6,50.8,1
2023-06-28 0:28,U2207,1046.26,investment,7864.41,13.44,2.86,4.69,-1.92,116,383,16.2,71.4,2
2023-02-24 22:09,U2769,7480.07,investment,14602.66,13.23,3.68,4.85,1.66,244,421,82.1,90.2,1
2023-01-05 14:12,U7837,471.38,transfer,14540.86,34.51,3.7,2.36,2.26,319,493,70.7,20.6,1
2023-09-26 3:55,U8671,2053.11,Investment,3422.02,37,3.86,4.63,-2.84,321,311,84.3,30.6,2
2023-08-07 15:52,U6010,429.81,withdrawal,11635.9,22.63,2.84,4.22,0.21,148,441,31.8,73.8,1
2023-02-05 13:47,U8477,213.26,deposit,11084.63,16.64,4.48,3.65,0.68,299,751,52.5,44,0
2023-08-26 7:20,U8089,664.62,transfer,1605.65,26.62,4.97,2.58,1.46,326,749,29.6,81.8,0
2023-09-12 2:46,U7390,402.16,transfer,5980.04,31.94,2.88,2.34,0.15,187,649,12.2,57,0
2023-12-29 6:33,U1684,277.13,transfer,6347.46,36.66,3.09,3.41,0.61,29,694,38.4,47.5,0
2023-01-28 16:41,U5738,1463.47,withdrawal,16405.38,10.26,4.71,5.37,-1.67,339,687,65.4,71.2,1
2023-01-10 9:35,U7228,9837.72,investment,17415.42,36.15,3.87,4.91,1.03,189,647,51.2,33.7,1
2023-11-10 9:19,U8696,7492.54,investment,13035.38,11.1,2.32,2.74,1.73,345,774,57.8,24.9,0
2023-10-05 23:35,U6138,1482.68,TRANSFER,9674.54,12.05,4.48,2.66,-1.79,294,326,14.9,94.7,2
2023-04-28 6:16,U3652,1491.23,transfer,10109.13,23.88,4.47,3.18,0.65,99,398,64.9,49.2,1
2023-01-04 23:16,U6276,9641.51,investment,21820.77,10.79,3.32,2.62,-3.61,163,779,31.9,43.7,1
2023-05-08 14:02,U7222,1149.14,transfer,8664.96,17.45,2.22,1.75,-0.58,358,447,54.6,50.6,1
2023-08-31 22:05,U9084,966.33,deposit,8121.39,35.88,0.85,1.4,-1.04,120,558,42.7,37,2
2023-04-05 17:53,U8353,1320.14,investment,6581.73,13.83,4.84,5.72,-3.49,168,592,22.3,32,2
2023-06-08 8:21,U7286,525.27,transfer,10044.4,33.79,1.31,4.05,0.02,61,539,69.6,83,1
2023-11-11 9:57,U7859,1530.73,withdrawal,10814.16,30.76,4.7,5.9,-0.93,173,525,16.4,16.6,1
2023-04-14 9:07,U4865,948.31,transfer,14423.91,27.37,3.45,2.25,0.31,128,549,33.3,64.2,1
2023-08-06 11:09,U4259,1679.05,withdrawal,10703.63,11.92,1.88,5.4,0.56,290,519,35.3,83.6,1
2023-05-26 8:17,U1626,1016.92,investment,8045.93,35.52,1.79,1.37,-0.75,127,318,52,17.1,1
2023-03-19 1:45,U2740,3285.77,investment,6114.96,38.82,1.58,2.58,0.06,340,757,25.4,78.9,0
2023-01-26 10:34,U7903,6676.3,investment,11436.32,12.14,3.33,4.26,-0.37,215,631,16.4,33.3,0
2023-02-01 15:16,U8552,1456.77,withdrawal,10647.68,30.34,2.41,5.75,-2.48,63,303,39.3,73.6,2
2023-03-11 2:45,U6031,1667.31,deposit,8710.95,29.31,1.56,1.24,0.83,262,806,37.9,73,0
2023-05-15 21:47,U4506,9432.35,investment,24060.42,16.32,2.56,2.24,-1.95,181,709,35,81.7,1
2023-08-10 3:52,U5844,7950.71,investment,18146.44,24.69,0.95,4.63,-0.03,275,840,52.3,58,0
2023-09-16 2:08,U8607,283.67,transfer,11793.68,30.37,4.72,5.82,-0.02,237,460,43.1,42.3,1
2023-05-04 20:05,U4495,1559.12,withdrawal,11057.19,37.68,3.39,1.47,-0.14,306,547,63.5,23.3,1
2023-04-26 2:00,U5019,124.14,transfer,9073.09,16.77,3.71,3.76,2.54,210,815,65.7,76.3,0
2023-03-25 2:35,U3974,141.23,transfer,15085.6,36.2,0.63,5.49,-0.8,252,603,62,55.3,0
2023-06-01 20:42,U9856,320.8,transfer,14072.01,18.77,0.65,2.07,-0.13,163,614,88.9,85.8,0
2023-02-12 20:13,U1398,9045.87,investment,23930.95,28.21,4.93,3.18,1.36,19,316,17,18.6,2
2023-10-24 3:08,U7619,1584.59,deposit,10326.85,34.08,2.4,4.64,1.86,73,549,53.6,92.2,1
2023-08-29 3:33,U8045,1505.1,transfer,3804.66,10.75,2.16,4.56,0.81,14,571,75.7,25.2,1
2023-05-24 21:16,U9864,"$1,113.49 ",deposit,2092.16,28.12,2.31,4.26,2.27,9,484,89.4,68,1
2023-09-25 16:26,U4114,812.53,transfer,4795.71,15.9,3.35,2.57,2.42,322,535,61.7,31.4,1
2023-10-09 4:01,U2737,NA,withdrawal,4040.17,37.18,1.72,5.63,-0.73,290,703,12.7,45,0
2023-04-22 21:24,U6439,1603.19,TRANSFER,13030.54,21.63,3.85,5.81,-1.87,264,582,67.1,94.9,2
2023-12-31 4:38,U4341,782.11,withdrawal,12736.74,28.25,1.63,3,-1.09,119,439,65,35.2,2
2023-04-11 19:11,U2414,682.47,transfer,11780.93,39.08,2.22,4.27,0.3,87,610,18.7,17.3,0
2023-07-25 0:25,U8608,1985.26,withdrawal,5929.88,25.9,2.16,2.39,0.13,143,697,36.3,21.7,0
2023-07-12 3:51,U8037,7059.22,investment,12617.84,20.25,4.71,4.19,3.92,165,565,50.5,41.6,1
2023-01-08 20:28,U6108,1440.05,transfer,9313.7,28.79,2.54,2.37,2.18,363,440,88.3,19.3,1
2023-11-30 11:27,U1671,1128.92,withdrawal,11504.15,29.37,2.69,3.31,-1.71,41,489,60.5,44.7,2
2023-05-31 0:48,U2849,779.2,deposit,13672.94,19.02,4.18,3.25,-1.87,242,788,55.2,42.5,1
2023-09-19 11:53,U2697,3058.25,investment,15461.58,21.49,3.58,1.85,-1.13,235,433,65.1,33,2
2023-04-26 13:49,U9322,1802.86,deposit,4287.11,25.41,1.86,3.62,-0.12,170,369,33.2,75.5,1
2023-12-05 10:35,U3345,376.35,deposit,4991.42,11.56,0.95,4.57,1.6,117,512,62.2,44.7,1
2023-11-06 16:24,U6545,1513.92,transfer,13956.78,18.78,3.72,4.15,0.09,315,371,38.8,47.9,1
2023-08-07 8:29,U6475,1224.82,transfer,12076.38,21.46,4.97,2.2,0.52,306,787,45.1,41.9,0
2023-11-12 1:56,U3521,None,deposit,13392.1,27.81,2.44,3.7,1.55,141,393,57.4,24.6,1
2023-11-05 10:50,U2050,909.12,deposit ,8652.83,34.53,3.54,5.26,0.19,348,774,56,29.8,0
2023-07-20 1:16,U8799,1122.24,withdrawal,2078.21,14.61,1.61,3.43,-1.14,289,393,79,26.7,2
2023-11-09 14:29,U2167,1219.55,withdrawal,10655.04,14.66,1.64,1.96,-0.69,221,624,44.1,63.5,0
2023-10-18 16:15,U3302,5314.19,investment,18467.27,29.53,3.54,1.12,0.27,181,347,86.2,29.9,2
2023-10-06 18:41,U1308,5815.23,investment,12748.09,15.79,4.83,3.68,1.09,307,790,32.4,61.2,0
2023-08-07 13:26,U8926,1072.11,withdrawal,13201.66,31.09,3.13,1.57,1.02,278,707,85.2,91.6,0
2023-12-03 5:57,U9761,1098.29,transfer,10141.06,16.24,4.96,5.28,-2.03,310,793,38.4,77.7,1
2023-05-08 9:05,U9499,463.19,deposit,8895.6,32.02,2.54,1.61,0.18,233,687,71.8,57.5,0
2023-10-06 8:09,U1911,6427.58,investment,14963.3,20.22,4.1,2.28,-1.17,184,321,36.5,35.4,2
2023-10-25 13:33,U1275,771.6,deposit,11186.53,12.95,2.05,3.56,0.2,56,836,28.1,58.3,0
2023-04-09 10:18,U1762,"$1,427.01 ",deposit,6360.47,28.92,4.17,1.81,0.33,222,655,27.3,87.4,0
