Date,Time,User_Id,Transaction_Amount,Transaction_Type,Account_Balance,Market_Volatility_Index,Interest_Rate,Inflation_Rate,Stock_Index_Change,Investment_Duration_Days,Credit_Score,Device_Cpu_Usage,Device_Memory_Usage,Risk_Level
2023-03-16,22:32:00,U3601,6116.97,INVESTMENT,18155.88,37.18,1.08,5.93,0.97,334,589,86.2,23.4,2
2023-08-15,11:54:00,U6012,1546.62,WITHDRAWAL,15268.03,14.29,4.84,4.87,-1.03,82,540,74.3,52.8,2
2023-09-05,23:22:00,U4010,1886.07,TRANSFER,14767.13,20.97,4.03,5.79,-0.53,25,321,24.6,82.1,1
2023-01-10,12:43:00,U1863,1256.29,DEPOSIT,11831.29,20.55,0.58,5.31,-2.28,269,486,81.2,94.7,2
2023-02-08,5:12:00,U7836,1639.39,DEPOSIT,11236.64,30.13,2.21,2.7,1.54,118,625,73.9,29.5,0
2023-02-02,12:35:00,U6135,5533.2,INVESTMENT,11435.97,20.19,1.26,2.34,-0.29,162,366,60.7,22,1
2023-09-12,6:32:00,U8324,453.84,TRANSFER,10946.97,17.25,3.05,4.03,2.01,107,426,49,56,1
2023-05-08,1:55:00,U7018,1749.06,WITHDRAWAL,10584.23,22.3,4.3,5.29,-1.44,268,549,71.8,87.4,2
2023-03-22,6:02:00,U5129,1825.82,DEPOSIT,2718.5,10.92,2.35,3.63,0.39,271,491,81.1,28.5,1
2023-05-18,15:08:00,U1688,3807.09,INVESTMENT,16735,33.72,0.68,1.47,0.61,31,648,15.5,72.5,0
2023-08-24,3:49:00,U6394,1436.23,WITHDRAWAL,9848.43,36.25,2.66,4.48,-1.5,307,527,36.2,87.3,2
2023-01-09,12:29:00,U7068,1381.17,TRANSFER,7913.02,29.39,1.66,3.9,0.46,274,654,33.3,30.6,0
2023-01-14,1:35:00,U5672,9793.29,INVESTMENT,22886.19,12.82,0.89,1.59,0.63,325,462,27.8,21,1
2023-06-11,10:29:00,U1814,1111.07,INVESTMENT,5900.5,23.48,3.66,4.6,-1.53,86,529,22.5,19.1,2
2023-06-28,19:04:00,U6160,9329.7,INVESTMENT,10144.35,11.32,2.44,5.8,2.99,18,774,45.4,94.7,0
2023-11-06,5:31:00,U7313,1165.23,DEPOSIT,10798.38,17.82,3.05,3.97,-1.75,191,626,24.5,71,1
2023-03-13,10:34:00,U7126,707.81,DEPOSIT,4255.59,10.44,2.56,4.78,0.33,35,313,74.1,78.6,1
2023-09-01,3:13:00,U2892,807.87,DEPOSIT,13313.53,37.11,3.76,2.94,-0.49,229,783,67.9,65.3,0
2023-10-30,18:37:00,U4644,1695.29,WITHDRAWAL,15085.97,33.04,4.08,3.02,1.32,280,305,20.2,48.1,1
2023-01-12,20:36:00,U6998,133.34,DEPOSIT,4568.47,16.77,3.38,5.04,0.09,346,715,53.2,18.3,0
2023-01-04,8:45:00,U2453,604.9,WITHDRAWAL,14146.38,28.83,1.82,1.89,-0.62,174,678,36.6,66.3,0
2023-02-10,15:15:00,U1857,5886.98,INVESTMENT,19159.76,24.8,1.07,1.89,-0.45,32,746,11.8,23.9,0
2023-12-14,19:04:00,U9900,7633.87,INVESTMENT,21670.79,19.31,0.52,1.83,0.66,60,474,70.7,59.6,1
2023-10-14,22:58:00,U1756,1899.58,TRANSFER,2831.54,29.31,3.43,3.36,1.01,87,414,79.1,47.3,1
2023-01-05,19:24:00,U3488,80.24,TRANSFER,3953,30.44,4.82,2.57,-0.95,257,693,73.2,82.7,0
2023-02-09,18:13:00,U9918,9835.37,INVESTMENT,19374.84,22.95,2.45,5.38,-0.2,274,600,84.4,94.4,0
2023-07-15,1:41:00,U5675,912.61,TRANSFER,5051.92,10.19,1.64,1.19,-1.87,36,371,77.2,28.5,2
2023-09-01,8:20:00,U3157,1293.56,INVESTMENT,9007.55,15.35,2.96,5.5,-0.6,125,459,31.1,80.1,1
2023-08-03,21:29:00,U5020,1247.67,INVESTMENT,13613.03,30.82,4.58,3.93,-2.87,111,591,78.9,68.3,2
2023-11-20,0:07:00,U3985,7986.61,INVESTMENT,13194.84,32.37,2.92,5.1,1.93,253,737,67.4,90.1,1
2023-02-15,23:37:00,U6229,656.31,TRANSFER,11232.63,20.22,4.06,5.62,-1.73,28,671,39.6,29,1
2023-10-10,14:08:00,U6468,1531.19,DEPOSIT,9467.7,22.91,2.63,5.61,-0.58,180,358,29.8,68.2,1
2023-01-06,23:23:00,U7806,1976.73,WITHDRAWAL,14726.29,24.02,2.61,3.09,-1.45,88,450,79.7,94.3,2
2023-03-31,14:49:00,U7716,6252.45,INVESTMENT,9170.53,29.99,4.17,5.98,1.32,229,548,29.2,38.9,2
2023-10-08,18:29:00,U1494,2400.14,INVESTMENT,11649.5,26.81,0.65,3.3,-0.28,161,620,36.7,44,0
2023-09-12,18:43:00,U3944,1290.28,DEPOSIT,10531.55,28.46,0.95,1.69,-1.69,94,525,78.7,62.5,2
2023-06-14,10:32:00,U7611,1193.63,TRANSFER,8787.43,35.3,2.61,4.62,-0.3,359,785,27.9,37.8,0
2023-09-27,2:44:00,U1058,,WITHDRAWAL,12400.70132,16.74,3.82,4.66,0.45,361,418,90,64.4,1
2023-08-29,16:13:00,U4753,994.56,TRANSFER,15532.19,22.44,2.38,3.95,2.24,34,721,17.9,21.1,0
2023-11-16,3:47:00,U6752,1174.4,TRANSFER,7272.84,38.96,4.65,5.15,0.5,110,528,52,48.6,1
2023-04-28,3:51:00,U6025,76.59,WITHDRAWAL,11291.05,31.52,1.13,1.84,1.31,200,381,35.1,94.7,1
2023-08-01,0:48:00,U4252,1942.99,TRANSFER,6819.09,22.53,3.56,3.11,-0.36,199,437,66.6,42.4,1
2023-07-18,15:26:00,U2940,958.93,DEPOSIT,13786.42,11.31,3.34,4.12,0.86,204,836,30.4,85.5,0
2023-02-16,22:22:00,U3186,982.61,TRANSFER,5262.2,22.97,2.32,2.03,-1.83,231,592,25.4,71.6,2
2023-01-05,4:30:00,U9505,581.67,DEPOSIT,"13,877.49",11.68,0.68,1.33,0.19,105,737,52.4,27.5,0
2023-01-29,6:41:00,U5155,2016.38,INVESTMENT,5607.84,29.91,2.03,5.65,0.29,363,797,18.2,66.7,0
2023-03-03,21:11:00,U8236,"$1,355.25 ",WITHDRAWAL,13114.31,22.7,3.12,5.24,1.89,320,445,13.9,78,1
2023-11-05,4:40:00,U8543,1541.2,DEPOSIT,13480.9,18.49,1.03,3.83,2.69,245,845,62.3,92.5,0
2023-12-06,1:47:00,U5709,1770.8,DEPOSIT,3101.8,14.91,4.71,1.19,1.48,30,551,27,83.7,1
2023-08-15,21:11:00,U6249,1284.86,WITHDRAWAL,3430.06,25.3,4.46,5.76,-1.65,7,789,74.1,42.4,1
2023-03-15,3:04:00,U7146,1655.16,WITHDRAWAL,2706.87,13.4,1.07,1.16,1.54,204,757,43.5,70.8,0
2023-03-01,11:35:00,U8561,654.66,TRANSFER,11966.27,21.87,1.21,3.47,-1.81,99,796,62,20.6,1
2023-01-12,15:33:00,U8318,1733.63,DEPOSIT,12513.61,35.19,3.66,5.96,-0.45,304,434,47.3,39.3,1
2023-05-06,11:48:00,U1817,1821.78,INVESTMENT,4186.83,15.25,3.12,2.66,-1.77,41,478,34.4,26.3,2
2023-05-31,3:20:00,U3274,639.77,WITHDRAWAL,2946.69,15.05,3.55,4.84,1.62,158,613,83.9,56,0
2023-01-18,6:15:00,U7418,1434.76,TRANSFER,13733.56,10.11,2.11,1.06,0.83,261,738,86.4,25.4,0
2023-10-02,7:28:00,U1081,1593.35,WITHDRAWAL,5815.22,16.34,4.72,1.11,0.04,211,624,70.2,38,0
2023-03-07,2:37:00,U7159,783.19,DEPOSIT,2939.63,31.13,4.14,1.31,-2.29,25,642,45.8,56.5,1
2023-10-17,1:05:00,U1084,1571.42,WITHDRAWAL,3194.92,31.64,2.83,3.68,-1.94,187,790,34.5,57.8,1
2023-09-01,12:32:00,U8340,1190.44,WITHDRAWAL,10802.57,32.42,3.46,2.07,0.67,131,610,22.2,67.3,0
2023-09-13,3:58:00,U7602,57.44,DEPOSIT,2100.41,36.91,3.61,5.61,-2.53,170,310,40.4,59.8,2
2023-09-01,16:47:00,U4868,,TRANSFER,3224.99,20.04,1.49,5.72,1.33,14,720,46.6,73.6,0
2023-06-23,13:12:00,U1451,466.71,WITHDRAWAL,13654.03,17.95,2.6,1.82,3.03,344,427,38.7,27.1,1
2023-10-03,1:48:00,U7938,183.86,DEPOSIT,11166.54,26.38,3.6,4.62,-0.5,280,592,16.3,75.5,1
2023-09-28,17:20:00,U9350,7279.04,INVESTMENT,9712.53,16.11,4.93,5.42,-1.39,7,830,27.6,31.9,1
2023-04-06,18:27:00,U2272,442.08,DEPOSIT,1947,33.36,1.16,4.75,0.89,15,475,54.3,29.4,1
2023-05-19,14:11:00,U9536,,INVESTMENT,"7,653.57",34.52,1.19,2.32,0.08,230,388,11.6,19,1
2023-06-03,12:23:00,U3805,1104.43,TRANSFER,6750.93,13.63,4.62,1.4,2.19,243,518,11.2,81.5,1
2023-07-17,21:39:00,U8994,726.43,TRANSFER,10524.78,17.35,1.43,2.97,0.39,244,353,81.5,40.9,1
2023-01-30,9:48:00,U7201,115.1,TRANSFER,13413.02,21,3.27,5.64,2.49,251,706,64.6,72.7,0
2023-02-24,0:19:00,U6888,1726.38,DEPOSIT,"12,489.25",17.68,1.34,5.64,0.83,17,465,89.4,59.4,1
2023-02-20,11:09:00,U6718,1952.17,DEPOSIT,9662.16,10.97,4.01,2.11,0.08,41,777,79.8,37,0
2023-09-09,15:20:00,U9727,2058.8,INVESTMENT,4063.27,28.92,4.66,1.38,-0.68,158,379,71,17.7,1
2023-09-03,22:59:00,U3466,1609.45,WITHDRAWAL,9614.64,34.55,1.02,1.37,0.49,133,786,47.2,83.7,0
2023-07-19,3:40:00,U3936,997.73,DEPOSIT,6388.1,15.16,2.02,3.83,0.71,72,759,37.1,94.9,0
2023-12-13,18:29:00,U8930,737.58,WITHDRAWAL,10493.66,11.7,3.04,1.91,0.52,134,440,39.4,30,1
2023-02-03,11:47:00,U9599,1649.63,TRANSFER,16102.99,27.9,4.69,3.15,-0.65,84,478,82.8,59.1,1
2023-10-01,0:26:00,U1051,1584.16,DEPOSIT,11090.2,32.19,4.52,4.56,1.18,191,597,51.7,50.7,1
2023-09-21,16:27:00,U1686,74.79,WITHDRAWAL,6736.62,21.95,3.07,5.12,1.75,350,375,27.4,89.4,1
2023-10-14,21:29:00,U8679,1812.63,DEPOSIT,7227.33,11.57,3.43,4.37,-0.17,67,347,76.6,47.7,1
2023-11-12,1:25:00,U3384,658.23,TRANSFER,5882.03,11.86,2.52,2.23,0.32,175,641,35,41.3,0
2023-06-16,17:00:00,U1300,7190.96,INVESTMENT,12705.91,34.89,1.75,1.11,3.1,27,663,77.4,19.4,1
2023-04-09,8:42:00,U6985,1144.45,TRANSFER,15169.63,14.92,4.96,1.46,-0.55,26,519,51,54.1,1
2023-08-09,0:43:00,U6783,6624.82,INVESTMENT,19095.02,38.2,4.03,5.09,-0.84,150,457,74.2,83.4,2
2023-08-13,14:06:00,U8461,1713.82,TRANSFER,3359.04,15.66,2.1,3.37,-1.85,158,562,24.4,91.2,2
2023-12-31,13:21:00,U4138,740.82,DEPOSIT,2972.83,16.49,3.32,2.74,-0.59,342,515,31.7,89.5,1
2023-11-12,14:02:00,U2106,1981.56,DEPOSIT,7549.64,12.7,4.81,2.17,0.31,46,417,30.4,91.9,1
2023-04-10,3:04:00,U6068,332.68,TRANSFER,8273.93,14.46,0.88,5.31,2.87,175,769,32.2,27.7,0
2023-12-07,0:11:00,U2058,544.59,WITHDRAWAL,5366.42,34.03,2.79,1.19,-0.66,276,317,51.1,18.1,1
2023-06-17,5:52:00,U8009,1537.64,WITHDRAWAL,13659.96,18.64,2.72,4.24,-0.04,240,392,85.6,72.9,1
2023-06-09,15:54:00,U8795,1954.75,TRANSFER,12429.45,18.24,0.94,5.66,-0.88,163,395,54.8,73.1,1
2023-02-05,13:40:00,U6649,1131.58,DEPOSIT,10074.02,25.44,2.58,4.7,-1.39,265,426,89.7,46,2
2023-06-21,17:51:00,U9163,600.41,WITHDRAWAL,3539.47,11.16,1.89,4.13,-0.61,283,459,21.6,24.9,1
2023-06-07,13:01:00,U4929,670.07,WITHDRAWAL,13621.83,33.96,3.24,2.31,0.5,62,360,46.7,54.6,1
2023-10-17,2:20:00,U6228,3655.65,INVESTMENT,17151.73,22.57,0.65,5.61,0.37,42,450,73.3,61.5,1
2023-08-03,23:20:00,U9866,4804.2,INVESTMENT,11481.16,19.93,4.86,2.51,2.06,324,337,75.8,79.1,1
2023-01-12,20:36:00,U4536,503.46,WITHDRAWAL,14860.23,16.78,0.61,2.95,-1.8,26,834,29.3,85.1,1
2023-02-22,21:17:00,U8275,2053.59,INVESTMENT,12486.18,17.46,3.17,4.64,0.54,147,780,44.9,29.1,0
2023-02-03,7:09:00,U3307,1602.67,WITHDRAWAL,8753.89,35.02,1.04,5.31,-2.22,220,784,59.3,23.3,1
2023-02-21,8:34:00,U5036,1198.32,INVESTMENT,1801.88,29.84,3.48,5.79,0.37,259,594,76.3,32.2,1
2023-03-28,15:25:00,U1137,1395.69,TRANSFER,4984.7,23.44,3.12,2.8,-2.26,335,416,49.1,30.5,2
2023-11-06,7:17:00,U2959,293.99,TRANSFER,14642.41,31.43,2.18,1.21,-0.11,228,662,85.6,25.8,0
2023-12-04,21:36:00,U7791,1907.21,WITHDRAWAL,15838.27,23.81,2.05,3.19,0.94,172,687,50,26.2,0
2023-03-30,12:24:00,U5694,70.33,DEPOSIT,11078.43,39.79,3.05,3.01,0.13,252,417,20.8,93.9,1
2023-12-20,11:54:00, U6689 ,1364.98,TRANSFER,15169.38,27,2.31,4.33,-0.01,137,380,56.3,40.3,1
2023-10-29,1:26:00,U8291,4282.04,INVESTMENT,5581.13,17.69,0.99,1.51,1.04,331,839,21.2,19.1,0
2023-10-10,23:07:00,U5070,336.77,WITHDRAWAL,1863.25,14.43,4.65,2.43,-2.34,25,739,19.1,17.3,1
2023-12-12,1:15:00,U4956,982.41,WITHDRAWAL,14727.36,32.29,1,4.98,2.56,301,788,28.4,60.2,0
2023-06-16,11:22:00,U3829,1205.9,TRANSFER,2237.03,23.28,1.3,5.02,-0.17,317,383,75.9,66.9,1
2023-12-08,4:41:00,U4976,71.51,DEPOSIT,11000.41,33,3.65,3.07,1.91,47,327,59.6,59.1,1
2023-12-05,11:46:00,U1002,1726.13,WITHDRAWAL,10263.49,12.09,3.12,4.57,1.2,239,827,69,15.6,0
2023-06-02,7:34:00,U4726,1764.57,TRANSFER,15949.35,28.24,0.6,2.06,-0.92,91,355,33.3,30.2,1
2023-07-01,7:16:00,U7421,9954.83,INVESTMENT,11601.43,19.54,1.72,1.77,-1.76,27,590,35,67.8,2
2023-10-31,6:05:00,U9993,1622.85,WITHDRAWAL,2222.04,25.38,1.29,1.92,0.5,117,585,33.8,42.8,1
2023-03-31,2:28:00,U8408,1428.33,TRANSFER,12041.32,21.1,4.66,2.89,-1.03,344,446,47.5,64.9,2
2023-11-13,3:58:00,U3299,629.84,WITHDRAWAL,2766.07,22.19,2.38,5.79,-1.43,242,338,12,71.4,2
2023-11-24,7:54:00,U1722,1634.16,WITHDRAWAL,8048.46,39.79,4.13,5.34,-1.1,74,784,35.3,16.6,1
2023-05-25,16:43:00,U4018,"5,413.68",INVESTMENT,11933.55,34.21,1.94,1.55,0.93,201,660,87.2,30.1,1
2023-06-29,11:55:00,U6900,935.2,WITHDRAWAL,8685.69,35.73,4.36,3.35,0.5,214,356,21.3,92,1
2023-06-17,11:54:00,U1842,743.92,TRANSFER,4007.27,15.38,0.59,3.56,-2.04,270,520,64,85.7,2
2023-06-14,19:08:00,U7731,2370.95,INVESTMENT,7822.26,26.65,4.06,1.61,1.63,85,545,72.8,74.5,1
2023-09-20,2:36:00,U9875,6676.46,INVESTMENT,9632.71,17.68,4,2.94,-0.97,99,670,71.8,36,0
2023-01-18,5:44:00,U7208,1678.98,WITHDRAWAL,12411.04,20.29,2.88,4.26,-0.59,181,767,59.2,78.3,0
2023-01-08,10:42:00,U4119,298.4,WITHDRAWAL,9894.45,31.97,4.19,3.99,0.41,346,626,80.1,79.1,0
2023-07-11,14:54:00,U4845,1255.2,WITHDRAWAL,10645.9,37.8,3.42,1.62,-0.03,163,631,81,62.8,0
2023-01-28,1:17:00,U4492,1009.85,DEPOSIT,5757.27,19.62,4.68,5.17,0.24,100,730,68.4,39.9,0
2023-02-19,16:59:00,U6984,110.33,TRANSFER,11841.63,35.18,3.25,1.89,0.89,210,383,10.6,80.2,1.005366272
2023-03-18,5:08:00,U6858,3284.39,INVESTMENT,5325.25,37.13,3.12,4.24,-0.64,359,459,88.5,30.8,1
2023-11-02,21:12:00,U9878,516.36,DEPOSIT,6482.97,25.98,4.02,5.75,-0.89,75,328,84.2,30,1
2023-01-20,5:13:00,U8039,281.39,TRANSFER,11090.72,24.25,3.37,3.9,0.03,48,642,65.7,66.4,0
2023-08-13,3:12:00,U3350,856.67,TRANSFER,3624.86,26.15,2.84,1.95,1.55,96,817,76.4,40.2,0
2023-05-21,13:15:00,U5912,1248.08,DEPOSIT,7807.74,28.98,3.23,5.21,0.6,195,764,75.8,29.3,0
2023-02-08,4:13:00,U9580,1824.76,DEPOSIT,16579.2,24.9,4.38,3.16,0.01,271,416,31.1,69.3,1
2023-01-23,6:21:00,U3153,5464.43,INVESTMENT,11797.88,26.99,4.77,3.49,-1.5,298,606,55.3,65.9,2
2023-03-19,1:33:00,U6110,973.13,WITHDRAWAL,15512.16,19.54,4.42,1.36,-0.19,216,355,15.3,16,1
2023-12-14,14:01:00,U4281,1321.86,DEPOSIT,11414.93,17.55,2.41,3.83,1.26,137,400,10.2,57.2,1
2023-04-23,18:04:00,U7766,168.81,DEPOSIT,12353.75,37.18,3.67,2.56,-0.89,271,389,43.2,16.4,1
2023-09-09,16:36:00,U9249,1616.33,WITHDRAWAL,12728.49,25.25,0.56,4.04,-1.15,133,641,32.4,27.9,1
2023-12-15,18:24:00,U3741,1819.14,DEPOSIT,7059.09,32.25,4.59,4.84,0.47,355,364,40.2,46,1
2023-10-14,2:59:00,U3671,1673.39,INVESTMENT,9715.06,32.89,2.44,4.25,0.31,88,642,76.5,35.9,0
2023-10-28,6:07:00,U1055,60.54,DEPOSIT,2299.41,10.26,3.19,1.46,-0.05,133,334,83.7,74.9,1
2023-08-17,3:12:00,U7472,321.05,WITHDRAWAL,14039.81,19.2,2.01,2.75,-0.8,41,595,17.4,50.1,1
2023-05-10,5:23:00,U2026,852.73,TRANSFER,14657.94,28.47,3.93,2.53,-1.58,44,702,36,81.2,1
2023-11-06,21:26:00,U3637,4999.29,INVESTMENT,16098.94,20.22,1.9,4.56,-0.02,330,553,52.7,58.6,1
2023-11-22,3:39:00,U9463,109.57,TRANSFER,7124.05,26.78,3.28,4.53,-1.81,329,413,89.4,92.4,2
2023-05-21,11:37:00, U1887 ,1842.81,DEPOSIT,13975.42,25.4,1.73,4.28,-0.47,185,584,49.3,29.7,1
2023-12-07,12:21:00,U6460,1455.1,WITHDRAWAL,14823,28.01,4.06,5.83,0,226,410,57.8,69.6,1
2023-12-18,13:25:00,U1239,1649,INVESTMENT,14670.57,11.85,4.11,4.16,-0.95,228,527,64.9,67.3,1
2023-11-20,19:38:00,U9453,185.19,WITHDRAWAL,12729.41,38.44,3.67,2.69,-1.45,130,710,76,31.1,1
2023-10-22,6:53:00,U6763,3194.22,INVESTMENT,5283.95,15.21,3.66,3.64,0.66,55,499,70.1,79.8,1
2023-04-14,17:36:00,U6326,9129.01,INVESTMENT,15649.61,13.96,2.9,2.23,-1.89,48,659,14.9,52.2,1
2023-04-30,16:12:00,U7338,"1,606.77",TRANSFER,7294.21,15.24,4.17,5.33,1.83,109,480,29.7,18.8,1
2023-03-17,20:20:00,U4770,7044.78,INVESTMENT,21187.49,17.41,4.67,3.29,-0.26,62,556,10.1,52.6,1
2023-06-09,1:32:00,U3706,111.97,WITHDRAWAL,12143.64,29.73,4.93,1.52,0.82,117,838,46.8,46.8,0
2023-10-16,10:16:00,U7381,739.71,TRANSFER,7418.48,10.36,1.34,3.76,-0.91,204,840,26.8,20.2,0
2023-03-23,7:57:00,U1857,1580.94,WITHDRAWAL,10535.42,22.49,1.13,2.45,0.09,97,543,21.1,40.9,1
2023-06-10,10:24:00,U4834,4994.73,INVESTMENT,13479.74,30.42,0.95,1.11,1.12,120,530,41.5,43.7,1
2023-01-29,22:17:00,U4731,3767.77,INVESTMENT,15510.08,37.74,3.81,3.73,-0.6,115,572,18.6,84.6,1
2023-07-24,0:49:00,U8004,5686.91,INVESTMENT,10266.49,13.16,0.88,1.19,0.67,117,515,44.9,34.3,1
2023-07-20,19:18:00,U5702,976.03,DEPOSIT,9980.45,33.82,1.37,3.55,0.35,173,390,50,93.3,1
2023-10-18,21:51:00,U4383,1097.23,WITHDRAWAL,13108.72,23.09,4.72,5.15,1.56,185,645,74.2,53.1,0
2023-03-13,12:00:00,U7652,1045.24,INVESTMENT,6672.08,18.49,1.95,2.87,0.15,306,339,38.9,33.4,1
2023-10-17,19:47:00,U8144,1078.17,WITHDRAWAL,14674.44,33.93,0.76,4.54,1.09,158,529,52,23.7,1
2023-11-21,14:31:00,U5282,1282.82,WITHDRAWAL,7273.6,19.77,4.63,4.18,-1,111,597,52.4,38.7,1
2023-09-05,13:10:00,U3906,925.26,WITHDRAWAL,3450.8,29.58,3.98,2.63,-2.61,326,479,81.8,73.8,2
2023-12-02,4:27:00,U5031,406.36,WITHDRAWAL,6378.48,27.14,3.09,3.61,-1.14,268,538,58.9,32.5,2
2023-06-27,16:02:00,U1460,254.38,WITHDRAWAL,13354.29,26.05,1.24,3.28,-1.52,103,609,17,71.9,1
2023-02-25,16:15:00,U5737,606.74,DEPOSIT,7946.37,20.66,3.28,2.95,-1.54,224,343,61.2,49.2,2
2023-10-24,16:31:00,U9221,3689.71,INVESTMENT,10054.83,10.51,4.92,1.92,-2.75,270,511,23.8,72.9,2
2023-01-24,11:36:00,U7392,8150.37,INVESTMENT,17674.82,18.24,2.99,4.55,-0.63,107,636,31.3,23.2,0
2023-04-10,22:00:00,U1541,1887.25,INVESTMENT,8336.5,28.49,4.7,3.23,0.23,198,499,43.9,93.7,1
2023-06-17,8:41:00,U4210,303.16,WITHDRAWAL,1272.8,32.77,3.32,1.82,-0.91,63,466,72.6,42.6,1
2023-07-30,23:50:00,U2708,918.23,TRANSFER,7887.7,15.91,0.64,4.97,-0.7,154,803,73.8,62.6,0
2023-07-13,17:57:00,U3287,927.19,DEPOSIT,5824.79,32.45,1.97,2.02,0.12,340,373,42.7,82.7,1
2023-11-05,21:18:00,U8311,1695.32,TRANSFER,4695.79,24.43,0.56,4.07,1.63,258,334,87.8,92.1,1
2023-11-02,12:24:00, U9785 ,327.4,DEPOSIT,8207.06,35.53,3.32,2.85,3,72,798,55.9,57.6,0
2023-10-17,15:58:00,U2224,523.03,TRANSFER,14383.61,30.67,3.93,3.95,0.87,348,379,37.7,58.5,1
2023-03-07,23:59:00,U2624,628.16,TRANSFER,3209.56,33.99,3.66,3.42,1.01,336,755,31.4,45.9,0
2023-12-28,10:38:00,U8516,1301.63,DEPOSIT,10981.36,25.17,2.8,3.32,0.15,134,608,24.7,63.9,0
2023-10-22,4:50:00,U7606,810.03,WITHDRAWAL,11274.28,39.97,0.96,2.89,2.51,119,496,89.5,33.4,1
2023-06-10,20:57:00,U8648,78.04,TRANSFER,13049.11,31.74,2.86,2.11,-1.03,39,641,23.5,81.8,1
2023-02-15,4:37:00,U4596,765.57,WITHDRAWAL,4273.88,16.51,4.81,1.75,-1.71,199,786,11.7,21.8,1
2023-03-20,17:40:00,U2312,1627.14,DEPOSIT,7792.2,14.81,2.78,2.55,1.21,17,796,22.2,68.1,0
2023-12-14,14:07:00,U7233,960.12,DEPOSIT,4544.66,14.35,2.29,1.85,0.95,59,693,21.4,63.4,0
2023-03-12,15:19:00,U8099,310.92,DEPOSIT,7950.17,19.4,2.93,1.33,0.14,210,674,64.4,28.3,0
2023-02-02,14:03:00,U3312,1222.15,WITHDRAWAL,12960.84,16.52,1.84,2.07,-0.91,315,301,65.2,64.6,1
2023-01-11,6:49:00,U1584,1415.07,DEPOSIT,15147.84,13.75,4.27,4.45,2,174,632,80.4,88.6,0
2023-11-27,0:06:00, U8580 ,1122.68,DEPOSIT,5325.3,26.76,2.84,5.98,-1.16,351,694,57.9,56.2,1
2023-09-29,6:00:00,U5524,5790.32,INVESTMENT,6502.7,27.77,0.97,3.78,0.67,298,841,40.2,70.8,1
2023-08-29,5:03:00,U2377,5155.6,INVESTMENT,15279.87,13.03,1.65,3.17,-1.83,58,718,22.6,79.5,1
2023-05-20,9:51:00,U3665,1576.26,DEPOSIT,7593.25,24.03,1.7,5.03,1.68,330,456,18.2,37.7,1
2023-09-21,5:22:00,U3383,3871.41,INVESTMENT,10820.37,17.61,3.17,1.68,0.42,335,380,27.4,67.6,1
2023-08-28,12:26:00,U4499,375.91,TRANSFER,2890.96,38.6,2.87,4.44,1.5,217,315,43.3,44.9,1
2023-06-19,18:53:00,U7471,1444.61,DEPOSIT,13376.4,10.76,4.75,5.18,0.2,42,790,39.4,83.3,0
2023-05-12,13:48:00,U9045,156.06,WITHDRAWAL,5071.65,35.11,0.8,5.23,0.15,250,394,31.3,67.1,1
2023-11-19,23:17:00,U6992,232.83,DEPOSIT,3225.56,39.04,4.27,2.77,-0.26,16,562,86.7,59.3,1
2023-11-05,7:27:00,U5631,209.83,DEPOSIT,7695.98,32.27,2.01,2.11,-1.23,204,545,65.8,84.4,2
2023-04-07,11:02:00,U5344,1248.25,DEPOSIT,11812.3,37.91,1.45,4.16,0.57,264,673,54.4,32.5,0
2023-07-02,7:19:00,U2707,1663.62,WITHDRAWAL,8872.59,22.35,2.86,5.95,-0.6,230,467,14,18,1
2023-07-10,3:23:00,U5052,8138.16,INVESTMENT,22138.04,10.4,1.34,1.81,-0.04,220,789,34.2,57.9,0
2023-04-24,15:35:00,U6183,1828.32,TRANSFER,4263.62,30.7,3.6,1.51,-0.99,9,399,22.6,93.8,1
2023-11-08,7:21:00,U6324,968.19,WITHDRAWAL,13070.4,31.08,1.3,3.62,0.14,247,368,19.4,83.7,1
2023-03-02,16:20:00,U4236,7957.8,INVESTMENT,13659.34,30.05,4.32,1.56,0.94,171,776,56.7,24.6,1
2023-09-13,15:50:00,U9586,1180.48,WITHDRAWAL,11734.52,35.7,0.68,2.2,-0.06,105,764,69.2,80,0
2023-02-04,14:08:00,U4898,1106.88,TRANSFER,5482.13,31.39,1.4,5.2,-1.68,179,385,87.3,42.7,2
2023-05-01,3:45:00,U7307,997.34,TRANSFER,7111.5,12.98,2.5,3.3,-1.3,52,715,72.6,92.7,1
2023-10-30,3:12:00,U5761,255.54,WITHDRAWAL,9515.43,15.42,4.37,5.77,-0.92,176,630,80.2,34.8,0
2023-09-22,0:09:00,U6901,345.17,TRANSFER,3516.36,26.56,2.86,4.85,1.75,333,691,15,87.4,0
2023-04-11,8:13:00, U7971 ,517.98,DEPOSIT,2114.62,36.72,2.95,2.45,0.91,237,638,14.2,84.3,0
2023-07-18,1:29:00,U2168,4456.38,INVESTMENT,12397.35,39.51,3.58,5.7,0.47,73,831,43.9,89.5,0
2023-06-13,23:35:00,U8270,301.89,TRANSFER,13790.89,27.76,1.65,1.54,-1.43,11,315,67.2,32.7,2
2023-08-03,4:21:00,U4699,7186.66,INVESTMENT,13685.4,10.65,4.17,5.96,-1.32,17,548,14.6,50.4,2
2023-01-26,23:54:00,U4376,8959.2,INVESTMENT,13526.85,19.99,1.5,4.82,-2.52,107,594,33.7,83,2
